RA,Dec,Bmag,e_Bmag,Vmag,e_Vmag,i'mag,e_i'mag
0:33:39.093,78:40:5.603,10.44,0.12,10.15,0.05,10.20,0.06
0:32:6.791,78:39:8.856,12.89,0.19,11.00,0.05,9.68,0.00
0:29:50.857,78:41:55.889,13.93,0.17,12.85,0.05,12.26,0.06
0:31:30.375,78:40:34.651,12.39,0.20,11.72,0.05,11.47,0.06
0:31:44.781,78:40:57.778,13.83,0.20,13.08,0.05,12.74,0.07
0:30:25.656,78:45:18.119,13.63,0.17,11.71,0.06,9.92,0.00
0:23:57.270,78:37:40.166,12.30,0.14,10.40,0.05,nan,nan
0:25:42.589,78:44:33.436,13.73,0.15,12.30,0.05,11.37,0.05
0:23:39.389,78:46:55.326,12.84,0.42,12.14,0.36,11.72,0.30
0:27:1.938,78:47:5.212,13.31,0.14,11.99,0.05,11.21,0.05
0:28:58.742,78:47:55.597,13.61,0.16,12.08,0.05,11.12,0.05
0:28:22.105,78:48:11.434,10.92,0.20,10.43,0.06,10.36,0.07
0:26:11.727,78:50:23.521,12.20,0.14,11.29,0.05,10.79,0.06
0:24:45.491,78:53:35.117,11.49,0.12,10.25,0.05,nan,nan
0:22:5.239,78:40:34.925,12.14,0.18,11.39,0.08,10.99,0.07
0:22:34.521,78:40:38.878,13.51,0.18,12.98,0.08,12.76,0.07
0:23:20.030,78:49:20.363,12.60,0.17,12.22,0.07,12.16,0.07
0:22:3.927,78:48:24.484,13.71,0.18,12.43,0.07,11.56,0.06
0:21:50.045,78:51:33.116,12.71,0.17,11.54,0.07,10.77,0.06
0:23:28.590,78:52:43.464,13.95,0.17,13.27,0.07,12.91,0.07
0:21:40.032,78:55:58.656,13.86,0.17,12.62,0.06,11.76,0.06
0:21:58.070,78:54:51.484,13.66,0.19,12.18,0.06,11.14,0.06
0:23:50.929,78:59:44.225,12.41,0.17,11.82,0.07,11.56,0.06
0:23:53.442,79:0:13.817,13.16,0.19,11.98,0.07,11.21,0.06
0:22:27.176,79:0:13.712,13.76,0.18,12.38,0.06,11.40,0.06
0:21:39.670,79:3:24.919,13.90,0.15,13.34,0.06,13.10,0.05
0:33:21.074,78:45:51.840,13.48,0.17,12.64,0.06,12.19,0.06
0:34:21.650,78:46:59.095,13.10,0.09,12.80,0.05,12.88,0.06
0:32:40.881,78:52:1.096,12.93,0.21,11.67,0.05,10.96,0.05
0:31:39.065,78:47:35.974,12.66,0.19,11.96,0.05,11.69,0.07
0:31:11.254,78:51:39.211,13.04,0.18,12.22,0.05,11.85,0.06
0:29:54.556,78:49:33.391,13.84,0.19,13.06,0.05,12.68,0.06
0:30:59.800,78:53:15.374,13.05,0.18,11.74,0.05,10.98,0.05
0:29:50.210,78:57:0.299,13.79,0.17,12.30,0.05,11.39,0.05
0:34:33.986,78:57:26.957,12.79,0.08,12.12,0.05,11.81,0.06
0:33:27.811,78:58:16.219,13.31,0.23,12.42,0.05,11.98,0.05
0:34:4.195,79:4:29.777,12.82,0.19,12.36,0.05,12.33,0.05
0:31:8.599,79:1:26.350,13.65,0.18,12.86,0.05,12.49,0.06
0:30:9.206,79:1:24.316,12.32,0.17,11.47,0.05,11.10,0.05
0:32:46.428,79:4:44.263,12.07,0.21,10.10,0.05,8.57,0.00
0:32:1.973,79:6:14.044,13.09,0.22,11.07,0.08,8.80,0.00
0:29:21.428,78:55:40.534,13.31,0.18,12.69,0.05,12.47,0.06
0:28:27.940,78:57:42.599,11.23,0.24,10.55,0.14,10.28,0.13
0:29:47.762,78:58:7.597,12.26,0.18,11.68,0.05,11.51,0.06
0:27:18.080,79:0:35.489,12.67,0.15,11.89,0.05,11.50,0.05
0:25:39.181,78:58:22.750,13.55,0.13,11.69,0.06,10.34,0.04
0:25:4.725,79:2:27.398,11.38,0.12,10.68,0.05,10.37,0.05
0:24:21.192,79:7:42.542,13.95,0.18,13.34,0.07,13.05,0.06
0:24:23.218,79:9:27.878,10.49,0.12,10.11,0.06,10.11,0.06
0:30:5.081,79:3:38.592,13.93,0.18,13.32,0.04,13.15,0.06
0:28:40.930,79:9:36.925,12.05,0.15,11.14,0.05,10.67,0.05
0:29:16.080,79:13:3.781,12.65,0.17,11.23,0.05,10.35,0.05
0:28:18.614,79:11:25.260,12.44,0.15,11.85,0.05,11.64,0.05
0:28:16.246,79:15:55.624,13.86,0.16,13.50,0.05,13.53,0.08
0:34:30.054,79:15:52.610,13.65,0.20,12.31,0.06,11.43,0.05
0:33:26.012,79:12:13.529,12.21,0.22,11.57,0.05,11.39,0.05
0:33:29.624,79:11:1.889,12.94,0.20,12.25,0.05,11.97,0.05
0:31:17.120,79:15:33.134,13.45,0.19,12.71,0.05,12.39,0.06
0:35:14.363,79:15:6.984,12.73,0.08,12.06,0.05,11.72,0.06
0:30:1.771,79:15:11.498,12.35,0.14,11.17,0.07,10.46,0.05
0:24:1.266,79:2:6.562,13.99,0.16,13.31,0.07,12.98,0.06
